participant,repetition,start time,end time,hand coordination,hand delay,eye coordination,eye delay,overall coordination,overall delay
1,1,10,20,94.90375260459365,16.98,88.94801328373204,20.829999999999988,89.14010306777233,-12.509999999999987
1,1,20,30,94.86270984612628,36.35,88.7709818417496,11.330000000000004,88.94135211091047,3.8400000000000003
1,1,0,30,96.9998226833305,21.140000000000004,93.3064697152894,20.830000000000002,93.45802289987691,-20.830000000000002
1,2,0,1,76.88492785591919,162.54000000000002,69.61663874265565,195.88,74.3159830561945,29.170000000000005
1,2,1,2,81.44225661027275,102.8,70.86815946613034,164.61999999999995,73.0321052520386,-129.20999999999998
1,2,2,3,83.06663005229913,-19.790000000000006,68.60700024881642,-92.67999999999999,71.67418861684371,91.49
1,2,3,4,84.26703045230612,26.900000000000002,70.70687621532075,-45.80000000000001,73.04090682602906,62.63
1,2,4,5,81.95209443330378,-39.60000000000001,68.47689809822919,-96.2,73.71137480113497,46.03
1,2,5,6,81.44976402764125,-47.35999999999999,72.93671163384641,45.90000000000001,73.03759763379308,-129.07
1,2,6,7,77.40285534228927,-101.01,69.61260356077683,195.97,63.33050144704509,-312.4200000000001
1,2,7,8,83.31405925782882,71.88,65.0598422941566,287.64,66.53056921526532,-254.20999999999998
1,2,8,9,84.2680974291377,29.76000000000001,69.2475538166804,-79.05,71.12367784713739,104.06000000000002
1,2,9,10,84.22345701378468,18.42,67.21286414271567,-121.00000000000001,68.82789763138216,145.82
1,2,10,11,84.26646579067504,30.310000000000006,69.24497879352074,-79.11,70.67689115192569,112.4
1,2,11,12,84.23643523904704,20.14,71.9537912785094,-12.110000000000001,74.9166023853263,4.470000000000001
1,2,12,13,80.86403881694874,113.41000000000001,64.61811186070524,296.00000000000006,70.68903736983012,-179.05999999999997
1,2,13,14,72.31116610736558,219.00000000000003,52.534189242836874,545.8700000000001,57.68234147856342,-420.93
1,2,14,15,83.56104458626528,65.92,72.43188462668559,12.97,74.87863820817809,-3.77
1,2,15,16,82.48283659214431,-30.79000000000001,70.39887498935369,-54.02,74.03006137340032,37.10000000000001
1,2,16,17,84.23948507455097,35.31000000000001,71.71488448338481,-20.76000000000001,73.407032146213,54.26999999999999
1,2,17,18,82.08470590082008,-37.44,72.94799766905055,54.30000000000001,73.04275140639781,-128.94000000000003
1,2,18,19,83.84427165482103,54.92999999999999,70.98741116542627,162.42000000000002,74.26839285604784,-95.85000000000001
1,2,19,20,84.15630171527756,46.110000000000014,68.83974685938543,212.88000000000005,71.08139066244998,-170.87000000000003
1,2,20,21,83.40919379462831,-12.270000000000001,72.88585686761606,87.76,74.26946254153754,-95.80999999999999
1,2,21,22,82.49483490920665,85.65,70.0077517021231,-62.410000000000004,68.34371150884635,154.43
1,2,22,23,84.0962833012888,9.47,71.39138789486762,-29.180000000000003,74.02026365915223,37.46000000000001
1,2,23,24,83.31347176678784,-14.570000000000004,70.70836506366608,-45.76000000000002,74.58010971161208,21.150000000000002
1,2,24,25,83.90968972538097,56.209999999999994,71.29935471505846,154.35000000000002,74.26731838694813,-95.88
1,2,25,26,84.25839979319936,32.74,69.98487324855896,187.82999999999998,71.92978617763305,-154.03
1,2,26,27,82.88978647891967,78.05000000000001,68.0754763253052,229.33,69.32071871087663,-204.07
1,2,27,28,83.72676320529344,-3.8400000000000007,70.01064100486988,-62.34,73.40280888826396,54.35999999999999
1,2,28,29,84.24951915558681,21.580000000000005,69.64025957779626,-70.75000000000001,71.1191358600975,104.15
1,2,29,30,83.07545017084473,-19.610000000000003,67.63612296639663,-112.57000000000001,71.93608802845651,87.69000000000001
